lot	family	path	base_lines	base_prose_lines	current_prose_lines
L27	11 — Forge : client et opérations	runtime/test/fleet/forge/client_test.exs	2569	340	340
L28	11 — Forge : client et opérations	runtime/lib/fleet/forge/client/actions.ex	310	164	164
L28	11 — Forge : client et opérations	runtime/lib/fleet/forge/client/ci.ex	148	74	74
L28	11 — Forge : client et opérations	runtime/lib/fleet/forge/client/files.ex	119	27	27
L28	11 — Forge : client et opérations	runtime/lib/fleet/forge/client/jury.ex	487	204	204
L28	11 — Forge : client et opérations	runtime/lib/fleet/forge/client/labels.ex	288	84	84
L28	11 — Forge : client et opérations	runtime/lib/fleet/forge/client/merge.ex	189	63	63
L28	11 — Forge : client et opérations	runtime/lib/fleet/forge/client/repo.ex	515	184	184
L28	11 — Forge : client et opérations	runtime/lib/fleet/forge/client/signing.ex	112	35	35
L28	11 — Forge : client et opérations	runtime/test/fleet/forge/client/bot_login_cache_test.exs	220	41	41
L29	11 — Forge : client et opérations	runtime/lib/fleet/forge/client/transport.ex	451	169	169
L29	11 — Forge : client et opérations	runtime/lib/fleet/forge/client/url_safe.ex	38	15	15
L29	11 — Forge : client et opérations	runtime/lib/fleet/forge/payload.ex	188	50	50
L29	11 — Forge : client et opérations	runtime/test/fleet/forge/client/url_safe_test.exs	41	8	8
L29	11 — Forge : client et opérations	runtime/test/fleet/forge/client_ci_state_test.exs	295	57	57
L29	11 — Forge : client et opérations	runtime/test/fleet/forge/client_close_issue_kind_test.exs	51	12	12
L29	11 — Forge : client et opérations	runtime/test/fleet/forge/client_pagination_test.exs	138	24	24
L29	11 — Forge : client et opérations	runtime/test/fleet/forge/jury_verdict_function_test.exs	268	34	34
L29	11 — Forge : client et opérations	runtime/test/fleet/forge/merge_405_test.exs	116	22	22
L29	11 — Forge : client et opérations	runtime/test/fleet/forge/payload_fixture_test.exs	120	30	30
L29	11 — Forge : client et opérations	runtime/test/fleet/forge/payload_test.exs	99	24	24
L30	11 — Forge : client et opérations	runtime/lib/fleet/forge/protocol.ex	540	312	312
L30	11 — Forge : client et opérations	runtime/lib/fleet/forge/write_spacing.ex	27	15	15
L30	11 — Forge : client et opérations	runtime/test/fleet/forge/protocol_property_test.exs	154	45	45
L30	11 — Forge : client et opérations	runtime/test/fleet/forge/protocol_test.exs	204	17	17
L30	11 — Forge : client et opérations	runtime/test/support/forge/payload_fixture.ex	99	42	42
L31	12 — Workflow : contrats et artefacts	runtime/lib/fleet/roster.ex	266	138	138
L31	12 — Workflow : contrats et artefacts	runtime/lib/fleet/workflow.ex	77	42	42
L31	12 — Workflow : contrats et artefacts	runtime/lib/fleet/workflow/brief_artifact.ex	208	110	110
L31	12 — Workflow : contrats et artefacts	runtime/lib/fleet/workflow/brief_template.ex	34	8	8
L31	12 — Workflow : contrats et artefacts	runtime/lib/fleet/workflow/card_roles.ex	158	59	59
L31	12 — Workflow : contrats et artefacts	runtime/lib/fleet/workflow/catalogue_guards.ex	172	68	68
L31	12 — Workflow : contrats et artefacts	runtime/test/fleet/roster_test.exs	82	12	12
L31	12 — Workflow : contrats et artefacts	runtime/test/fleet/workflow/brief_artifact_test.exs	298	51	51
L31	12 — Workflow : contrats et artefacts	runtime/test/fleet/workflow/brief_template_test.exs	43	6	6
L31	12 — Workflow : contrats et artefacts	runtime/test/fleet/workflow/card_roles_test.exs	243	39	39
L31	12 — Workflow : contrats et artefacts	runtime/test/fleet/workflow/catalogue_guards_test.exs	44	5	5
L32	12 — Workflow : contrats et artefacts	runtime/lib/fleet/workflow/deliverable.ex	221	55	55
L32	12 — Workflow : contrats et artefacts	runtime/lib/fleet/workflow/deliverable_gate.ex	390	127	127
L32	12 — Workflow : contrats et artefacts	runtime/lib/fleet/workflow/gate.ex	12	4	4
L32	12 — Workflow : contrats et artefacts	runtime/lib/fleet/workflow/gate_brief.ex	105	49	49
L32	12 — Workflow : contrats et artefacts	runtime/lib/fleet/workflow/gate_decision.ex	12	5	5
L32	12 — Workflow : contrats et artefacts	runtime/test/fleet/workflow/deliverable_gate_test.exs	498	95	95
L32	12 — Workflow : contrats et artefacts	runtime/test/fleet/workflow/deliverable_gate_timeout_test.exs	43	11	11
L32	12 — Workflow : contrats et artefacts	runtime/test/fleet/workflow/deliverable_gate_trailer_test.exs	187	11	11
L32	12 — Workflow : contrats et artefacts	runtime/test/fleet/workflow/deliverable_test.exs	476	36	36
L32	12 — Workflow : contrats et artefacts	runtime/test/fleet/workflow/gate_brief_findings_contract_test.exs	34	11	11
L32	12 — Workflow : contrats et artefacts	runtime/test/fleet/workflow/gate_brief_test.exs	117	15	15
L32	12 — Workflow : contrats et artefacts	runtime/test/fleet/workflow/gate_decision_test.exs	87	19	19
L33	12 — Workflow : contrats et artefacts	runtime/lib/fleet/workflow/gates.ex	128	60	60
L33	12 — Workflow : contrats et artefacts	runtime/lib/fleet/workflow/gates/predicate.ex	170	99	99
L33	12 — Workflow : contrats et artefacts	runtime/lib/fleet/workflow/git.ex	598	122	122
L33	12 — Workflow : contrats et artefacts	runtime/lib/fleet/workflow/graph_validator.ex	143	16	16
L33	12 — Workflow : contrats et artefacts	runtime/lib/fleet/workflow/loader.ex	468	193	193
L33	12 — Workflow : contrats et artefacts	runtime/test/fleet/workflow/gates_predicate_property_test.exs	171	47	47
L33	12 — Workflow : contrats et artefacts	runtime/test/fleet/workflow/gates_predicate_test.exs	150	18	18
