path	base_lines	base_comment_lines	base_inline_comments	base_doc_lines	base_blank_lines	base_doc_blocks	base_module_blocks	base_type_blocks	base_switches	base_prose_lines	base_doctest_prompts	current_lines	current_comment_lines	current_inline_comments	current_doc_lines	current_blank_lines	current_doc_blocks	current_module_blocks	current_type_blocks	current_switches	current_prose_lines	current_doctest_prompts
runtime/lib/fleet/mcp/socket_warden.ex	196	20	0	34	25	1	1	0	0	54	0	196	20	0	34	25	1	1	0	0	54	0
runtime/lib/fleet/mcp/supervisor.ex	201	36	0	21	23	2	1	0	0	57	0	201	36	0	21	23	2	1	0	0	57	0
runtime/lib/fleet/observation.ex	34	4	0	4	1	0	1	0	0	8	0	34	4	0	4	1	0	1	0	0	8	0
runtime/lib/fleet/observation/application.ex	83	7	0	27	9	2	1	0	0	34	0	83	7	0	27	9	2	1	0	0	34	0
runtime/lib/fleet/observation/deck.ex	304	101	0	5	38	0	1	0	3	106	0	304	101	0	5	38	0	1	0	3	106	0
runtime/lib/fleet/observation/deck/view.ex	244	2	0	25	11	3	1	0	0	27	0	244	2	0	25	11	3	1	0	0	27	0
runtime/lib/fleet/observation/read_model.ex	227	37	0	20	33	2	1	0	1	57	0	227	37	0	20	33	2	1	0	1	57	0
runtime/lib/fleet/opts.ex	36	0	0	20	4	3	1	0	0	20	0	36	0	0	20	4	3	1	0	0	20	0
runtime/lib/fleet/periodic_check.ex	138	0	0	80	10	3	1	0	0	80	0	138	0	0	80	10	3	1	0	0	80	0
runtime/lib/fleet/pilot.ex	156	20	0	91	4	3	1	0	0	111	0	156	20	0	91	4	3	1	0	0	111	0
runtime/lib/fleet/pilot/application.ex	520	187	0	89	47	4	1	0	8	276	0	520	187	0	89	47	4	1	0	8	276	0
runtime/lib/fleet/pilot/arch_feed.ex	185	12	0	29	33	0	1	0	0	41	0	185	12	0	29	33	0	1	0	0	41	0
runtime/lib/fleet/pilot/arch_wake.ex	255	30	0	52	32	1	1	0	0	82	0	255	30	0	52	32	1	1	0	0	82	0
runtime/lib/fleet/pilot/brief_builder.ex	830	287	0	42	85	2	2	0	1	329	0	830	287	0	42	85	2	2	0	1	329	0
runtime/lib/fleet/pilot/completion_outbox.ex	186	8	0	58	22	4	1	1	0	66	0	186	8	0	58	22	4	1	1	0	66	0
runtime/lib/fleet/pilot/conflict_apply.ex	160	30	0	12	19	2	1	0	0	42	0	160	30	0	12	19	2	1	0	0	42	0
runtime/lib/fleet/pilot/conflict_probe.ex	238	49	0	21	28	4	1	0	0	70	0	238	49	0	21	28	4	1	0	0	70	0
runtime/lib/fleet/pilot/conflict_report.ex	133	17	0	30	17	1	1	0	0	47	0	133	17	0	30	17	1	1	0	0	47	0
runtime/lib/fleet/pilot/incident_consumer.ex	381	85	0	59	46	0	1	0	3	144	0	381	85	0	59	46	0	1	0	3	144	0
runtime/lib/fleet/pilot/incident_registry.ex	470	87	0	36	70	6	1	0	0	123	0	470	87	0	36	70	6	1	0	0	123	0
runtime/lib/fleet/pilot/incident_registry/escalation.ex	422	94	0	47	60	2	1	0	0	141	0	422	94	0	47	60	2	1	0	0	141	0
runtime/lib/fleet/pilot/incident_registry/store.ex	378	83	0	18	55	7	1	0	0	101	0	378	83	0	18	55	7	1	0	0	101	0
runtime/lib/fleet/pilot/issue_id.ex	26	0	0	9	4	2	1	0	0	9	0	26	0	0	9	4	2	1	0	0	9	0
runtime/lib/fleet/pilot/merge_and_promote.ex	990	303	0	114	96	4	2	0	0	417	0	990	303	0	114	96	4	2	0	0	417	0
runtime/lib/fleet/pilot/merge_outcome.ex	26	0	0	8	3	1	1	0	0	8	0	26	0	0	8	3	1	1	0	0	8	0
runtime/lib/fleet/pilot/offload.ex	173	19	0	35	24	3	1	0	0	54	0	173	19	0	35	24	3	1	0	0	54	0
runtime/lib/fleet/pilot/pod_feed.ex	76	7	0	35	8	3	1	0	0	42	0	76	7	0	35	8	3	1	0	0	42	0
runtime/lib/fleet/pilot/pod_reaper.ex	177	23	0	53	18	3	1	0	0	76	0	177	23	0	53	18	3	1	0	0	76	0
runtime/lib/fleet/pilot/poller.ex	1187	397	0	58	138	2	1	0	1	455	0	1187	397	0	58	138	2	1	0	1	455	0
runtime/lib/fleet/pilot/poller/admission.ex	254	17	0	119	23	8	1	0	0	136	0	254	17	0	119	23	8	1	0	0	136	0
runtime/lib/fleet/pilot/poller/backoff.ex	36	2	0	9	5	2	1	0	0	11	0	36	2	0	9	5	2	1	0	0	11	0
runtime/lib/fleet/pilot/poller/lease.ex	427	162	0	64	33	3	2	1	0	226	0	427	162	0	64	33	3	2	1	0	226	0
runtime/lib/fleet/pilot/poller/reconciliation.ex	641	222	0	114	54	3	2	0	0	336	0	641	222	0	114	54	3	2	0	0	336	0
runtime/lib/fleet/pilot/poller_telemetry.ex	365	56	0	99	36	2	1	0	1	155	0	365	56	0	99	36	2	1	0	1	155	0
runtime/lib/fleet/pilot/step_dispatcher.ex	784	201	0	58	79	3	1	0	0	259	0	784	201	0	58	79	3	1	0	0	259	0
runtime/lib/fleet/pilot/step_dispatcher/arch_escalation.ex	399	77	0	89	44	3	2	0	0	166	0	399	77	0	89	44	3	2	0	0	166	0
runtime/lib/fleet/pilot/step_dispatcher/project_resolver.ex	185	53	0	25	19	1	1	0	1	78	0	185	53	0	25	19	1	1	0	1	78	0
runtime/lib/fleet/pilot/step_dispatcher/review_lifecycle.ex	580	192	0	67	47	1	2	0	4	259	0	580	192	0	67	47	1	2	0	4	259	0
runtime/lib/fleet/pilot/step_dispatcher/review_lifecycle/ci_gate.ex	385	108	0	61	44	3	1	0	0	169	0	385	108	0	61	44	3	1	0	0	169	0
runtime/lib/fleet/pilot/step_dispatcher/review_lifecycle/remediation.ex	506	84	0	83	55	4	1	0	0	167	0	506	84	0	83	55	4	1	0	0	167	0
runtime/lib/fleet/pilot/step_dispatcher/review_lifecycle/remediation/conflict_ladder.ex	495	139	0	17	61	0	1	0	3	156	0	495	139	0	17	61	0	1	0	3	156	0
